"disaster.event","user.anon","date","lon","lat","user_date_freq"
"41_AuFire1",1094,2013-10-17,150.6096774,-22.62392412,1
"41_AuFire1",1106,2013-10-17,151.0487661,-22.63778181,5
"41_AuFire1",1116,2013-10-17,151.4305556,-22.29837161,8
"41_AuFire1",1131,2013-10-17,151.0641323,-22.6705843,3
"41_AuFire1",1142,2013-10-17,150.9229943,-22.66946337,3
"41_AuFire1",1154,2013-10-17,150.9505775,-22.61621694,1
"41_AuFire1",1167,2013-10-17,150.9919729,-22.6736582,10
"41_AuFire1",1184,2013-10-17,151.4116277,-22.1877053,2
"41_AuFire1",1185,2013-10-17,151.0117916,-22.63551908,1
"41_AuFire1",1210,2013-10-17,151.2486766,-22.42884109,2
"41_AuFire1",1211,2013-10-17,151.2319892,-22.62031933,3
"41_AuFire1",1213,2013-10-17,150.8351133,-22.61902927,1
"41_AuFire1",1221,2013-10-17,150.633458,-22.64409861,1
"41_AuFire1",1226,2013-10-17,150.1741771,-22.35371519,1
"41_AuFire1",1245,2013-10-17,151.0281011,-22.58817882,8
"41_AuFire1",1250,2013-10-17,150.9620799,-22.61148153,2
"41_AuFire1",1253,2013-10-17,150.6216519,-22.63765911,2
"41_AuFire1",1257,2013-10-17,151.1923545,-22.61644173,2
"41_AuFire1",1287,2013-10-17,150.6647819,-22.50884174,2
"41_AuFire1",1304,2013-10-17,151.032976,-22.62321472,2
"41_AuFire1",1316,2013-10-17,150.8891361,-22.59386554,1
"41_AuFire1",1331,2013-10-17,150.971223,-22.6125908,1
"41_AuFire1",1336,2013-10-17,151.109736,-22.66190673,1
"41_AuFire1",1339,2013-10-17,150.8340806,-22.61070416,2
"41_AuFire1",1342,2013-10-17,151.1504127,-22.66712474,3
"41_AuFire1",1350,2013-10-17,151.4813256,-22.11707108,1
"41_AuFire1",1372,2013-10-17,151.152998,-22.64309489,1
"41_AuFire1",1382,2013-10-17,151.1359176,-22.64025182,2
"41_AuFire1",1408,2013-10-17,150.6959464,-22.63273762,14
"41_AuFire1",1422,2013-10-17,150.7705982,-22.65052972,1
"41_AuFire1",1430,2013-10-17,151.2911111,-22.6322605,10
"41_AuFire1",1451,2013-10-17,150.6116113,-22.64128733,1
"41_AuFire1",1452,2013-10-17,150.8072557,-22.64353353,1
"41_AuFire1",1455,2013-10-17,150.9132815,-22.6163476,2
"41_AuFire1",1458,2013-10-17,150.8168281,-22.61533265,1
"41_AuFire1",1463,2013-10-17,150.9024183,-22.51807629,2
"41_AuFire1",1466,2013-10-17,150.7551601,-22.63786552,1
"41_AuFire1",1475,2013-10-17,151.179137,-22.67390557,1
"41_AuFire1",1479,2013-10-17,151.2165708,-22.64069502,1
"41_AuFire1",1490,2013-10-17,151.3104929,-21.6532091,3
"41_AuFire1",1491,2013-10-17,150.696601,-22.6296865,2
"41_AuFire1",1492,2013-10-17,151.0052577,-22.65870986,4
"41_AuFire1",1497,2013-10-17,151.2881434,-22.67665968,7
